#;presion_entrada;mfc;pcv;caudal_camara;presion_camara
Case 255;5;90;100;0,746;1,112
Case 256;5;90;100;0,745;1,272
Case 257;5;90;100;0,744;1,363
Case 258;5;90;100;0,743;1,433
Case 259;5;90;100;0,742;1,493
Case 260;5;90;98,68;0,741;1,546
Case 261;5;90;97,56;0,74;1,593
Case 262;5;90;96,59;0,739;1,637
Case 263;5;90;95,73;0,738;1,677
Case 264;5;90;94,97;0,737;1,715
Case 266;5;90;93,63;0,735;1,785
Case 267;5;90;93,05;0,734;1,817
Case 268;5;90;92,5;0,733;1,848
Case 269;5;90;91,99;0,732;1,878
Case 270;5;90;91,51;0,731;1,906
Case 271;5;90;91,06;0,73;1,933
Case 273;5;90;90,23;0,728;1,986
Case 274;5;90;89,84;0,727;2,011
Case 275;5;90;89,47;0,726;2,035
Case 277;5;90;88,78;0,724;2,082
Case 278;5;90;88,78;0,723;2,104
Case 279;5;90;88,13;0,722;2,126
Case 280;5;90;87,83;0,721;2,147
Case 281;5;90;87,54;0,72;2,168
Case 282;5;90;87,25;0,719;2,188
Case 283;5;90;86,98;0,718;2,209
Case 284;5;90;86,72;0,717;2,228
Case 285;5;90;86,46;0,716;2,247
Case 286;5;90;86,46;0,715;2,266
Case 287;5;90;86,46;0,714;2,285
Case 288;5;90;85,72;0,713;2,303
Case 289;5;90;85,49;0,712;2,321
Case 290;5;90;85,26;0,711;2,338
Case 291;5;90;85,04;0,71;2,356
Case 292;5;90;84,82;0,709;2,373
Case 294;5;90;84,41;0,707;2,406
Case 295;5;90;84,2;0,706;2,422
Case 296;5;90;84,01;0,705;2,438
Case 297;5;90;83,81;0,704;2,454
Case 299;5;90;83,44;0,702;2,485
Case 301;5;90;83,07;0,7;2,515
Case 303;5;90;82,72;0,698;2,545
Case 305;5;90;82,38;0,696;2,573
Case 306;5;90;82,21;0,695;2,587
Case 308;5;90;81,89;0,693;2,615
Case 309;5;90;81,73;0,692;2,629
Case 310;5;90;81,58;0,691;2,642
Case 311;5;90;81,42;0,69;2,655
Case 312;5;90;81,27;0,689;2,668
Case 313;5;90;81,12;0,688;2,681
Case 314;5;90;80,97;0,687;2,694
Case 315;5;90;80,84;0,686;2,706
Case 318;5;90;80,39;0,683;2,744
Case 319;5;90;80,39;0,682;2,757
Case 320;5;90;80,12;0,681;2,769
Case 321;5;90;79,99;0,68;2,781
Case 322;5;90;79,85;0,679;2,793
Case 323;5;90;79,72;0,678;2,804
Case 324;5;90;79,59;0,677;2,816
Case 325;5;90;79,46;0,676;2,828
Case 326;5;90;79,33;0,675;2,839
Case 328;5;90;79,08;0,673;2,862
Case 329;5;90;78,96;0,672;2,873
Case 330;5;90;78,83;0,671;2,884
Case 331;5;90;78,71;0,67;2,895
Case 332;5;90;78,59;0,669;2,906
Case 333;5;90;78,47;0,668;2,917
Case 334;5;90;78,35;0,667;2,927
Case 335;5;90;78,24;0,666;2,938
Case 336;5;90;78,11;0,665;2,948
Case 337;5;90;78;0,664;2,959
Case 338;5;90;77,89;0,663;2,969
Case 339;5;90;77,77;0,662;2,979
Case 346;5;90;77;0,655;3,049
Case 347;5;90;76,9;0,654;3,059
Case 348;5;90;76,8;0,653;3,069
Case 349;5;90;76,7;0,652;3,078
Case 350;5;90;76,59;0,651;3,088
Case 351;5;90;76,59;0,65;3,097
Case 353;5;90;76,28;0,648;3,116
Case 354;5;90;76,18;0,647;3,125
Case 356;5;90;75,98;0,645;3,143
Case 357;5;90;75,88;0,644;3,152
Case 358;5;90;75,78;0,643;3,161
Case 360;5;90;75,58;0,641;3,179
Case 362;5;90;75,58;0,639;3,196
Case 363;5;90;75,3;0,638;3,205
Case 365;5;90;75,11;0,636;3,222
Case 366;5;90;75,02;0,635;3,231
Case 367;5;90;74,93;0,634;3,239
Case 368;5;90;74,83;0,633;3,248
Case 370;5;90;74,65;0,631;3,264
Case 371;5;90;74,56;0,63;3,273
Case 375;5;90;74,56;0,626;3,305
Case 376;5;90;74,11;0,625;3,313
Case 377;5;90;74,02;0,624;3,321
Case 379;5;90;73,85;0,622;3,337
Case 380;5;90;73,76;0,621;3,345
Case 381;5;90;73,67;0,62;3,353
Case 386;5;90;73,25;0,615;3,391
Case 387;5;90;73,16;0,614;3,399
Case 389;5;90;72,99;0,612;3,414
Case 390;5;90;72,91;0,611;3,421
Case 391;5;90;72,83;0,61;3,428
Case 392;5;90;72,75;0,609;3,436
Case 393;5;90;72,75;0,608;3,443
Case 396;5;90;72,43;0,605;3,465
Case 397;5;90;72,43;0,604;3,472
Case 400;5;90;72,1;0,601;3,493
Case 403;5;90;71,86;0,598;3,514
Case 404;5;90;71,79;0,597;3,521
Case 405;5;90;71,71;0,596;3,528
Case 406;5;90;71,71;0,595;3,535
Case 407;5;90;71,55;0,594;3,541
Case 409;5;90;71,4;0,592;3,555
Case 410;5;90;71,32;0,591;3,562
Case 411;5;90;71,25;0,59;3,568
Case 412;5;90;71,17;0,589;3,575
Case 414;5;90;71,02;0,587;3,588
Case 415;5;90;70,95;0,586;3,595
Case 416;5;90;70,87;0,585;3,601
Case 417;5;90;70,79;0,584;3,608
Case 418;5;90;70,72;0,583;3,614
Case 420;5;90;70,57;0,581;3,627
Case 421;5;90;70,5;0,58;3,633
Case 422;5;90;70,42;0,579;3,639
Case 423;5;90;70,35;0,578;3,646
Case 424;5;90;70,28;0,577;3,652
Case 427;5;90;70,06;0,574;3,671
Case 428;5;90;69,98;0,573;3,677
Case 429;5;90;69,91;0,572;3,683
Case 430;5;90;69,84;0,571;3,689
Case 431;5;90;69,77;0,57;3,695
Case 432;5;90;69,7;0,569;3,701
Case 433;5;90;69,63;0,568;3,707
Case 434;5;90;69,56;0,567;3,713
Case 435;5;90;69,49;0,566;3,719
Case 436;5;90;69,41;0,565;3,725
Case 437;5;90;69,34;0,564;3,731
Case 438;5;90;69,27;0,563;3,737
Case 439;5;90;69,2;0,562;3,742
Case 441;5;90;69,06;0,56;3,754
Case 443;5;90;68,92;0,558;3,766
Case 444;5;90;68,85;0,557;3,771
Case 445;5;90;68,78;0,556;3,777
Case 446;5;90;68,71;0,555;3,783
Case 450;5;90;68,44;0,551;3,805
Case 451;5;90;68,37;0,55;3,811
Case 452;5;90;68,3;0,549;3,816
Case 453;5;90;68,23;0,548;3,822
Case 454;5;90;68,16;0,547;3,827
Case 455;5;90;68,09;0,546;3,833
Case 456;5;90;68,02;0,545;3,838
Case 457;5;90;67,96;0,544;3,843
Case 458;5;90;67,89;0,543;3,849
Case 459;5;90;67,82;0,542;3,854
Case 460;5;90;67,76;0,541;3,859
Case 461;5;90;67,69;0,54;3,865
Case 463;5;90;67,55;0,538;3,875
Case 464;5;90;67,49;0,537;3,881
Case 465;5;90;67,42;0,536;3,886
Case 466;5;90;67,35;0,535;3,891
Case 467;5;90;67,29;0,534;3,896
Case 468;5;90;67,22;0,533;3,901
Case 469;5;90;67,16;0,532;3,907
Case 470;5;90;67,09;0,531;3,912
Case 471;5;90;67,02;0,53;3,917
Case 472;5;90;66,96;0,529;3,922
Case 473;5;90;66,89;0,528;3,927
Case 474;5;90;66,83;0,527;3,932
Case 476;5;90;66,7;0,525;3,942
Case 477;5;90;66,63;0,524;3,947
Case 479;5;90;66,5;0,522;3,957
Case 480;5;90;66,44;0,521;3,962
Case 481;5;90;66,37;0,52;3,967
Case 483;5;90;66,25;0,518;3,976
Case 484;5;90;66,18;0,517;3,981
Case 486;5;90;66,05;0,515;3,991
Case 487;5;90;65,99;0,514;3,996
Case 489;5;90;65,85;0,512;4,005
Case 491;5;90;65,73;0,51;4,015
Case 492;5;90;65,67;0,509;4,019
Case 493;5;90;65,6;0,508;4,024
Case 494;5;90;65,53;0,507;4,029
Case 495;5;90;65,48;0,506;4,033
Case 496;5;90;65,41;0,505;4,038
Case 497;5;90;65,35;0,504;4,042
Case 498;5;90;65,28;0,503;4,047
Case 499;5;90;65,22;0,502;4,052
Case 500;5;90;65,16;0,501;4,056
Case 501;5;90;65,09;0,5;4,061
Case 502;5;90;65,03;0,499;4,065
Case 504;5;90;64,9;0,497;4,074
Case 505;5;90;64,84;0,496;4,079
Case 506;5;90;64,78;0,495;4,083
Case 507;5;90;64,71;0,494;4,087
Case 508;5;90;64,65;0,493;4,092
Case 509;5;90;64,59;0,492;4,096
Case 510;5;90;64,53;0,491;4,101
Case 511;5;90;64,47;0,49;4,105
Case 512;5;90;64,4;0,489;4,109
Case 513;5;90;64,34;0,488;4,114
Case 514;5;90;64,28;0,487;4,118
Case 515;5;90;64,22;0,486;4,122
Case 516;5;90;64,15;0,485;4,127
Case 517;5;90;64,09;0,484;4,131
Case 518;5;90;64,03;0,483;4,135
Case 519;5;90;63,96;0,482;4,139
Case 520;5;90;63,91;0,481;4,143
Case 521;5;90;63,84;0,48;4,148
Case 522;5;90;63,78;0,479;4,152
Case 523;5;90;63,72;0,478;4,156
Case 525;5;90;63,6;0,476;4,164
Case 526;5;90;63,54;0,475;4,168
Case 527;5;90;63,47;0,474;4,173
Case 528;5;90;63,41;0,473;4,177
Case 529;5;90;63,35;0,472;4,181
Case 530;5;90;63,29;0,471;4,185
Case 531;5;90;63,23;0,47;4,189
Case 532;5;90;63,17;0,469;4,193
Case 533;5;90;63,1;0,468;4,197
Case 534;5;90;63,04;0,467;4,201
Case 535;5;90;62,98;0,466;4,205
Case 536;5;90;62,92;0,465;4,209
Case 537;5;90;62,86;0,464;4,213
Case 538;5;90;62,8;0,463;4,217
Case 539;5;90;62,74;0,462;4,221
Case 540;5;90;62,67;0,461;4,224
Case 541;5;90;62,61;0,46;4,228
Case 542;5;90;62,55;0,459;4,232
Case 543;5;90;62,49;0,458;4,236
Case 545;5;90;62,37;0,456;4,244
Case 546;5;90;62,31;0,455;4,248
Case 547;5;90;62,25;0,454;4,251
Case 548;5;90;62,19;0,453;4,255
Case 549;5;90;62,13;0,452;4,259
Case 550;5;90;62,07;0,451;4,263
Case 551;5;90;62;0,45;4,267
Case 553;5;90;61,88;0,448;4,274
Case 554;5;90;61,82;0,447;4,278
Case 555;5;90;61,76;0,446;4,281
Case 556;5;90;61,7;0,445;4,285
Case 557;5;90;61,64;0,444;4,289
Case 558;5;90;61,58;0,443;4,292
Case 559;5;90;61,52;0,442;4,296
Case 561;5;90;61,4;0,44;4,303
Case 562;5;90;61,34;0,439;4,307
Case 564;5;90;61,22;0,437;4,314
Case 565;5;90;61,16;0,436;4,318
Case 566;5;90;61,1;0,435;4,321
Case 567;5;90;61,04;0,434;4,325
Case 568;5;90;60,97;0,433;4,328
Case 569;5;90;60,91;0,432;4,332
Case 570;5;90;60,85;0,431;4,335
Case 571;5;90;60,79;0,43;4,339
Case 572;5;90;60,73;0,429;4,342
Case 573;5;90;60,67;0,428;4,346
Case 574;5;90;60,61;0,427;4,349
Case 575;5;90;60,55;0,426;4,353
Case 576;5;90;60,49;0,425;4,356
Case 577;5;90;60,43;0,424;4,359
Case 578;5;90;60,37;0,423;4,363
Case 579;5;90;60,31;0,422;4,366
Case 581;5;90;60,19;0,42;4,373
Case 582;5;90;60,13;0,419;4,376
Case 584;5;90;60,01;0,417;4,383
Case 585;5;90;59,95;0,416;4,386
Case 586;5;90;59,89;0,415;4,389
Case 587;5;90;59,83;0,414;4,393
Case 588;5;90;59,77;0,413;4,396
Case 589;5;90;59,71;0,412;4,399
Case 590;5;90;59,65;0,411;4,403
Case 592;5;90;59,53;0,409;4,409
Case 596;5;90;59,28;0,405;4,422
Case 597;5;90;59,22;0,404;4,425
Case 598;5;90;59,16;0,403;4,428
Case 599;5;90;59,1;0,402;4,431
Case 600;5;90;59,04;0,401;4,434
Case 601;5;90;58,98;0,4;4,438
Case 602;5;90;58,92;0,399;4,441
Case 603;5;90;58,86;0,398;4,444
Case 604;5;90;58,8;0,397;4,447
Case 606;5;90;58,68;0,395;4,453
Case 607;5;90;58,62;0,394;4,456
Case 608;5;90;58,56;0,393;4,459
Case 609;5;90;58,5;0,392;4,462
Case 610;5;90;58,44;0,391;4,465
Case 611;5;90;58,38;0,39;4,468
Case 612;5;90;58,32;0,389;4,471
Case 613;5;90;58,25;0,388;4,474
Case 614;5;90;58,19;0,387;4,477
Case 616;5;90;58,07;0,385;4,483
Case 617;5;90;58,01;0,384;4,486
Case 618;5;90;57,95;0,383;4,489
Case 619;5;90;57,89;0,382;4,492
Case 620;5;90;57,83;0,381;4,495
Case 621;5;90;57,77;0,38;4,498
Case 622;5;90;57,71;0,379;4,501
Case 623;5;90;57,65;0,378;4,503
Case 624;5;90;57,59;0,377;4,506
Case 625;5;90;57,52;0,376;4,509
Case 626;5;90;57,46;0,375;4,512
Case 627;5;90;57,4;0,374;4,515
Case 628;5;90;57,34;0,373;4,518
Case 629;5;90;57,28;0,372;4,521
Case 630;5;90;57,22;0,371;4,523
Case 631;5;90;57,16;0,37;4,526
Case 632;5;90;57,1;0,369;4,529
Case 633;5;90;57,04;0,368;4,532
Case 634;5;90;56,97;0,367;4,534
Case 635;5;90;56,91;0,366;4,537
Case 637;5;90;56,79;0,364;4,543
Case 638;5;90;56,73;0,363;4,545
Case 639;5;90;56,67;0,362;4,548
Case 640;5;90;56,61;0,361;4,551
Case 641;5;90;56,55;0,36;4,553
Case 642;5;90;56,48;0,359;4,556
Case 643;5;90;56,42;0,358;4,559
Case 644;5;90;56,36;0,357;4,562
Case 645;5;90;56,3;0,356;4,564
Case 646;5;90;56,24;0,355;4,567
Case 647;5;90;56,18;0,354;4,569
Case 648;5;90;56,11;0,353;4,572
Case 649;5;90;56,05;0,352;4,575
Case 650;5;90;55,99;0,351;4,577
Case 652;5;90;55,87;0,349;4,582
Case 653;5;90;55,8;0,348;4,585
Case 654;5;90;55,74;0,347;4,588
Case 656;5;90;55,62;0,345;4,593
Case 657;5;90;55,56;0,344;4,595
Case 658;5;90;55,49;0,343;4,598
Case 660;5;90;55,37;0,341;4,603
Case 661;5;90;55,31;0,34;4,605
Case 662;5;90;55,24;0,339;4,608
Case 664;5;90;55,12;0,337;4,613
Case 665;5;90;55,06;0,336;4,615
Case 666;5;90;54,99;0,335;4,618
Case 668;5;90;54,87;0,333;4,622
Case 669;5;90;54,81;0,332;4,625
Case 670;5;90;54,74;0,331;4,627
Case 672;5;90;54,62;0,329;4,632
Case 673;5;90;54,55;0,328;4,634
Case 674;5;90;54,49;0,327;4,637
Case 675;5;90;54,43;0,326;4,639
Case 676;5;90;54,36;0,325;4,642
Case 677;5;90;54,3;0,324;4,644
Case 678;5;90;54,24;0,323;4,646
Case 679;5;90;54,17;0,322;4,649
Case 680;5;90;54,11;0,321;4,651
Case 681;5;90;54,05;0,32;4,653
Case 682;5;90;53,98;0,319;4,656
Case 683;5;90;53,92;0,318;4,658
Case 685;5;90;53,79;0,316;4,662
Case 686;5;90;53,73;0,315;4,665
Case 687;5;90;53,66;0,314;4,667
Case 688;5;90;53,6;0,313;4,669
Case 689;5;90;53,53;0,312;4,671
Case 690;5;90;53,47;0,311;4,674
Case 691;5;90;53,41;0,31;4,676
Case 692;5;90;53,34;0,309;4,678
Case 694;5;90;53,21;0,307;4,682
Case 695;5;90;53,15;0,306;4,685
Case 696;5;90;53,08;0,305;4,687
Case 697;5;90;53,02;0,304;4,689
Case 698;5;90;52,95;0,303;4,691
Case 699;5;90;52,89;0,302;4,693
Case 700;5;90;52,82;0,301;4,695
Case 701;5;90;52,75;0,3;4,698
Case 703;5;90;52,63;0,298;4,702
Case 704;5;90;52,56;0,297;4,704
Case 705;5;90;52,5;0,296;4,706
Case 706;5;90;52,43;0,295;4,708
Case 708;5;90;52,3;0,293;4,712
Case 709;5;90;52,23;0,292;4,714
Case 710;5;90;52,17;0,291;4,716
Case 711;5;90;52,1;0,29;4,718
Case 713;5;90;51,97;0,288;4,722
Case 714;5;90;51,9;0,287;4,724
Case 715;5;90;51,83;0,286;4,726
Case 716;5;90;51,77;0,285;4,728
Case 718;5;90;51,64;0,283;4,732
Case 719;5;90;51,57;0,282;4,734
Case 720;5;90;51,5;0,281;4,736
Case 721;5;90;51,43;0,28;4,738
Case 723;5;90;51,3;0,278;4,742
Case 724;5;90;51,23;0,277;4,744
Case 725;5;90;51,16;0,276;4,746
Case 726;5;90;51,1;0,275;4,748
Case 728;5;90;50,96;0,273;4,752
Case 729;5;90;50,9;0,272;4,754
Case 730;5;90;50,82;0,271;4,756
Case 731;5;90;50,76;0,27;4,757
Case 732;5;90;50,69;0,269;4,759
Case 733;5;90;50,62;0,268;4,761
Case 734;5;90;50,55;0,267;4,763
Case 735;5;90;50,48;0,266;4,765
Case 736;5;90;50,41;0,265;4,767
Case 737;5;90;50,34;0,264;4,769
Case 739;5;90;50,21;0,262;4,772
Case 740;5;90;50,14;0,261;4,774
Case 741;5;90;50,07;0,26;4,776
Case 742;5;90;50;0,259;4,778
Case 743;5;90;49,93;0,258;4,779
Case 744;5;90;49,86;0,257;4,781
Case 745;5;90;49,79;0,256;4,783
Case 746;5;90;49,72;0,255;4,785
Case 747;5;90;49,65;0,254;4,786
Case 748;5;90;49,58;0,253;4,788
Case 750;5;90;49,44;0,251;4,792
Case 751;5;90;49,37;0,25;4,793
Case 752;5;90;49,3;0,249;4,795
Case 753;5;90;49,23;0,248;4,797
Case 754;5;90;49,15;0,247;4,798
Case 756;5;90;49,01;0,245;4,802
Case 757;5;90;48,94;0,244;4,803
Case 758;5;90;48,87;0,243;4,805
Case 759;5;90;48,8;0,242;4,807
Case 760;5;90;48,73;0,241;4,808
Case 762;5;90;48,58;0,239;4,812
Case 763;5;90;48,51;0,238;4,813
Case 764;5;90;48,44;0,237;4,815
Case 765;5;90;48,37;0,236;4,817
Case 766;5;90;48,29;0,235;4,818
Case 768;5;90;48,15;0,233;4,821
Case 769;5;90;48,07;0,232;4,823
Case 770;5;90;48;0,231;4,824
Case 771;5;90;47,93;0,23;4,826
Case 772;5;90;47,85;0,229;4,828
Case 773;5;90;47,78;0,228;4,829
Case 774;5;90;47,7;0,227;4,831
Case 775;5;90;47,63;0,226;4,832
Case 776;5;90;47,55;0,225;4,834
Case 777;5;90;47,48;0,224;4,835
Case 778;5;90;47,4;0,223;4,837
Case 779;5;90;47,33;0,222;4,838
Case 781;5;90;47,18;0,22;4,841
Case 782;5;90;47,1;0,219;4,843
Case 783;5;90;47,03;0,218;4,844
Case 784;5;90;46,95;0,217;4,846
Case 785;5;90;46,88;0,216;4,847
Case 786;5;90;46,8;0,215;4,849
Case 788;5;90;46,64;0,213;4,851
Case 789;5;90;46,57;0,212;4,853
Case 790;5;90;46,49;0,211;4,854
Case 791;5;90;46,41;0,21;4,856
Case 792;5;90;46,33;0,209;4,857
Case 793;5;90;46,26;0,208;4,859
Case 795;5;90;46,1;0,206;4,861
Case 796;5;90;46,02;0,205;4,863
Case 797;5;90;45,94;0,204;4,864
Case 798;5;90;45,86;0,203;4,865
Case 799;5;90;45,79;0,202;4,867
Case 800;5;90;45,71;0,201;4,868
Case 801;5;90;45,63;0,2;4,869
Case 802;5;90;45,55;0,199;4,871
Case 803;5;90;45,47;0,198;4,872
Case 804;5;90;45,39;0,197;4,873
Case 805;5;90;45,31;0,196;4,875
Case 806;5;90;45,23;0,195;4,876
Case 807;5;90;45,15;0,194;4,877
Case 808;5;90;45,07;0,193;4,879
Case 810;5;90;44,9;0,191;4,881
Case 811;5;90;44,82;0,19;4,882
Case 812;5;90;44,74;0,189;4,884
Case 813;5;90;44,66;0,188;4,885
Case 814;5;90;44,58;0,187;4,886
Case 815;5;90;44,49;0,186;4,887
Case 816;5;90;44,41;0,185;4,889
Case 818;5;90;44,24;0,183;4,891
Case 819;5;90;44,16;0,182;4,892
Case 820;5;90;44,07;0,181;4,894
Case 821;5;90;43,99;0,18;4,895
Case 822;5;90;43,9;0,179;4,896
Case 823;5;90;43,82;0,178;4,897
Case 824;5;90;43,73;0,177;4,898
Case 825;5;90;43,65;0,176;4,899
Case 826;5;90;43,56;0,175;4,901
Case 827;5;90;43,48;0,174;4,902
Case 828;5;90;43,39;0,173;4,903
Case 829;5;90;43,3;0,172;4,904
Case 830;5;90;43,22;0,171;4,905
Case 831;5;90;43,13;0,17;4,906
Case 832;5;90;43,04;0,169;4,907
Case 833;5;90;42,96;0,168;4,908
Case 835;5;90;42,78;0,166;4,911
Case 836;5;90;42,69;0,165;4,912
Case 837;5;90;42,6;0,164;4,913
Case 838;5;90;42,51;0,163;4,914
Case 839;5;90;42,42;0,162;4,915
Case 840;5;90;42,33;0,161;4,916
Case 841;5;90;42,24;0,16;4,917
Case 842;5;90;42,15;0,159;4,918
Case 843;5;90;42,06;0,158;4,919
Case 845;5;90;41,88;0,156;4,921
Case 846;5;90;41,79;0,155;4,922
Case 847;5;90;41,7;0,154;4,923
Case 848;5;90;41,6;0,153;4,924
Case 849;5;90;41,51;0,152;4,925
Case 850;5;90;41,42;0,151;4,926
Case 851;5;90;41,32;0,15;4,927
Case 852;5;90;41,23;0,149;4,928
Case 853;5;90;41,13;0,148;4,929
Case 855;5;90;40,94;0,146;4,931
Case 856;5;90;40,85;0,145;4,932
Case 857;5;90;40,75;0,144;4,933
Case 858;5;90;40,65;0,143;4,934
Case 859;5;90;40,55;0,142;4,935
Case 860;5;90;40,46;0,141;4,936
Case 861;5;90;40,36;0,14;4,937
Case 862;5;90;40,26;0,139;4,938
Case 863;5;90;40,16;0,138;4,939
Case 864;5;90;40,06;0,137;4,939
Case 866;5;90;39,86;0,135;4,941
Case 867;5;90;39,76;0,134;4,942
Case 868;5;90;39,66;0,133;4,943
Case 869;5;90;39,56;0,132;4,944
Case 870;5;90;39,46;0,131;4,945
Case 871;5;90;39,35;0,13;4,946
Case 872;5;90;39,25;0,129;4,946
Case 873;5;90;39,15;0,128;4,947
Case 874;5;90;39,05;0,127;4,948
Case 875;5;90;38,94;0,126;4,949
Case 878;5;90;38,62;0,123;4,951
Case 879;5;90;38,51;0,122;4,952
Case 880;5;90;38,41;0,121;4,953
Case 881;5;90;38,3;0,12;4,954
Case 882;5;90;38,19;0,119;4,954
Case 883;5;90;38,08;0,118;4,955
Case 884;5;90;37,97;0,117;4,956
Case 885;5;90;37,86;0,116;4,957
Case 886;5;90;37,75;0,115;4,957
Case 887;5;90;37,64;0,114;4,958
Case 888;5;90;37,53;0,113;4,959
Case 891;5;90;37,19;0,11;4,961
Case 892;5;90;37,08;0,109;4,962
Case 893;5;90;36,96;0,108;4,963
Case 894;5;90;36,84;0,107;4,963
Case 895;5;90;36,73;0,106;4,964
Case 896;5;90;36,61;0,105;4,965
Case 897;5;90;36,49;0,104;4,965
Case 898;5;90;36,37;0,103;4,966
Case 899;5;90;36,25;0,102;4,967
Case 900;5;90;36,13;0,101;4,967
Case 901;5;90;36,01;0,1;4,968
